x_vc,y_vc,x_cs,y_cs,diff_x,diff_y
-0.285223,1.63245,0.0996852,3.2582,-0.384909,-1.62575
-0.305051,1.63436,0.100174,3.26166,-0.405225,-1.62729
-0.32204,1.62914,0.0993268,3.24867,-0.421367,-1.61952
-0.361025,1.60821,0.0984144,3.2606,-0.45944,-1.65239
-0.398269,1.59591,0.0998848,3.2594,-0.498154,-1.66349
-0.409681,1.59269,0.0959745,3.26329,-0.505656,-1.67059
-0.463461,1.57693,0.100701,3.25105,-0.564162,-1.67412
-0.511862,1.58026,0.0985414,3.26466,-0.610404,-1.68441
-0.550784,1.5874,0.0982978,3.2605,-0.649082,-1.6731
-0.587295,1.59398,0.0975779,3.26521,-0.684873,-1.67122
-0.619244,1.5775,0.100644,3.26135,-0.719888,-1.68386
-0.677558,1.60973,0.0991416,3.26175,-0.776699,-1.65202
-0.724721,1.60719,0.100786,3.25729,-0.825507,-1.6501
-0.743008,1.63371,0.0998715,3.25666,-0.84288,-1.62295
-0.796227,1.62928,0.0971105,3.2904,-0.893337,-1.66112
-0.831354,1.60906,0.0968821,3.29569,-0.928236,-1.68663
-0.877775,1.6271,0.0968821,3.29569,-0.974657,-1.66859
-0.908914,1.63914,0.0968821,3.29569,-1.0058,-1.65655
-0.985656,1.82468,0.10044,3.26915,-1.0861,-1.44447
-0.967042,1.65968,0.0978493,3.25885,-1.06489,-1.59917
-0.967042,1.65968,0.0966577,3.25133,-1.0637,-1.59164
-0.967042,1.65968,0.0995773,3.26155,-1.06662,-1.60187
-1.06565,1.69146,0.101152,3.24968,-1.16681,-1.55822
-1.11331,1.76751,0.0987266,3.26291,-1.21204,-1.4954
-1.11331,1.76751,0.0984112,3.26314,-1.21172,-1.49563
-1.11331,1.76751,0.0990944,3.24717,-1.21241,-1.47965
-1.11331,1.76751,0.097676,3.25618,-1.21099,-1.48867
-1.11331,1.76751,0.0996177,3.25333,-1.21293,-1.48581
-1.11331,1.76751,0.10136,3.26534,-1.21467,-1.49783
-1.11331,1.76751,0.0986692,3.25013,-1.21198,-1.48261
-1.11331,1.76751,0.100135,3.25322,-1.21345,-1.48571
-1.11331,1.76751,0.102186,3.24509,-1.2155,-1.47758
-1.11331,1.76751,0.0989245,3.24938,-1.21224,-1.48187
-1.11331,1.76751,0.100904,3.2519,-1.21422,-1.48439
-1.11331,1.76751,0.097319,3.25393,-1.21063,-1.48642
-1.11331,1.76751,0.100396,3.2516,-1.21371,-1.48409
-1.11331,1.76751,0.100732,3.24037,-1.21405,-1.47286
-1.11331,1.76751,0.0985508,3.25923,-1.21186,-1.49172
-1.11331,1.76751,0.0981049,3.2408,-1.21142,-1.47329
-1.11331,1.76751,0.100242,3.23941,-1.21356,-1.4719
-1.11331,1.76751,0.101385,3.24412,-1.2147,-1.4766
-1.11331,1.76751,0.101025,3.24556,-1.21434,-1.47805
-1.11331,1.76751,0.0996539,3.23916,-1.21297,-1.47165
-1.11331,1.76751,0.101653,3.24292,-1.21497,-1.4754
-1.11331,1.76751,0.103031,3.24052,-1.21634,-1.47301
-1.11331,1.76751,0.100885,3.24236,-1.2142,-1.47485
-1.11331,1.76751,0.0963169,3.24965,-1.20963,-1.48214
-1.11331,1.76751,0.0981538,3.23594,-1.21147,-1.46843
-1.11331,1.76751,0.101014,3.23353,-1.21433,-1.46602
-1.11331,1.76751,0.100949,3.23885,-1.21426,-1.47133
-1.11331,1.76751,0.100764,3.24759,-1.21408,-1.48007
-1.11331,1.76751,0.0974863,3.25102,-1.2108,-1.48351
-1.11331,1.76751,0.0983071,3.2416,-1.21162,-1.47408
-1.11331,1.76751,0.1004,3.24656,-1.21371,-1.47904
-1.11331,1.76751,0.101703,3.24144,-1.21502,-1.47392
-1.11331,1.76751,0.0998232,3.23642,-1.21314,-1.46891
-1.11331,1.76751,0.0967035,3.24196,-1.21002,-1.47445
-1.11331,1.76751,0.100883,3.24836,-1.2142,-1.48085
-1.11331,1.76751,0.102562,3.25086,-1.21588,-1.48335
-1.11331,1.76751,0.100644,3.24299,-1.21396,-1.47548
-1.11331,1.76751,0.0985789,3.25232,-1.21189,-1.48481
-1.11331,1.76751,0.0965117,3.25009,-1.20983,-1.48258
-1.11331,1.76751,0.100523,3.24344,-1.21384,-1.47592
-1.11331,1.76751,0.0993401,3.24582,-1.21265,-1.47831
-1.11331,1.76751,0.0990112,3.24165,-1.21232,-1.47414
-1.11331,1.76751,0.100383,3.24262,-1.2137,-1.4751
-1.11331,1.76751,0.097799,3.26589,-1.21111,-1.49837
-1.11331,1.76751,0.0991658,3.24439,-1.21248,-1.47688
-1.11331,1.76751,0.0982028,3.25487,-1.21152,-1.48736
-1.11331,1.76751,0.0981546,3.2607,-1.21147,-1.49319
-1.11331,1.76751,0.0997449,3.2481,-1.21306,-1.48059
-1.11331,1.76751,0.098887,3.26397,-1.2122,-1.49646
-1.11331,1.76751,0.0986716,3.25714,-1.21199,-1.48963
-1.11331,1.76751,0.100522,3.25129,-1.21384,-1.48378
-1.11331,1.76751,0.0959561,3.24963,-1.20927,-1.48212
-1.11331,1.76751,0.0997044,3.25809,-1.21302,-1.49058
-1.11331,1.76751,0.0982447,3.24847,-1.21156,-1.48096
-1.11331,1.76751,0.0974459,3.24354,-1.21076,-1.47603
-1.11331,1.76751,0.099474,3.2631,-1.21279,-1.49559
-1.11331,1.76751,0.0997332,3.25478,-1.21305,-1.48727
-1.11331,1.76751,0.0980927,3.25613,-1.21141,-1.48862
-1.11331,1.76751,0.0991541,3.25584,-1.21247,-1.48833
-1.11331,1.76751,0.0989785,3.25713,-1.21229,-1.48962
-1.11331,1.76751,0.100443,3.25034,-1.21376,-1.48283
-1.11331,1.76751,0.0988115,3.25535,-1.21213,-1.48784
-1.11331,1.76751,0.100383,3.2559,-1.2137,-1.48839
-1.11331,1.76751,0.0990639,3.26039,-1.21238,-1.49288
-1.11331,1.76751,0.0967287,3.26934,-1.21004,-1.50182
-1.11331,1.76751,0.0978078,3.26097,-1.21112,-1.49346
-1.11331,1.76751,0.099799,3.25837,-1.21311,-1.49086
-1.11331,1.76751,0.0999168,3.25158,-1.21323,-1.48407
-1.11331,1.76751,0.097917,3.25822,-1.21123,-1.49071
-1.11331,1.76751,0.102571,3.25348,-1.21588,-1.48596
-1.11331,1.76751,0.100751,3.25142,-1.21406,-1.4839
-1.11331,1.76751,0.0988004,3.26355,-1.21211,-1.49604
-1.11331,1.76751,0.100381,3.26106,-1.21369,-1.49355
-1.11331,1.76751,0.101659,3.25255,-1.21497,-1.48504
-1.11331,1.76751,0.0981174,3.24858,-1.21143,-1.48107
-1.11331,1.76751,0.0987034,3.26241,-1.21202,-1.4949
-1.11331,1.76751,0.099454,3.25305,-1.21277,-1.48554
-1.11331,1.76751,0.0978092,3.25943,-1.21112,-1.49192
-1.11331,1.76751,0.100081,3.26371,-1.21339,-1.4962
-1.11331,1.76751,0.0989488,3.26378,-1.21226,-1.49627
-1.11331,1.76751,0.0992048,3.25921,-1.21252,-1.4917
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
-1.11331,1.76751,0.0986296,3.25821,-1.21194,-1.49069
